CASA Measurement Report
Sample Name,WT_mouse1
Analysis Date,2026-07-14
Frame Rate,60 fps

番号,種別,座標数,曲線速度[µm/秒],直線速度[µm/秒],平均速度[µm/秒],直線性,直進性,曲線性,頭部振幅[µm],頭部振動数[Hz]
63,99,58,154.2,108.4,123.0,0.639,0.882,0.798,3.24,14.7
64,99,70,199.9,156.4,179.7,0.764,0.870,0.899,3.48,17.4
65,99,65,212.4,149.7,163.0,0.647,0.919,0.767,2.22,13.1
66,99,45,191.7,128.1,150.0,0.714,0.854,0.783,2.35,17.9
67,99,74,248.6,134.9,192.7,0.556,0.700,0.775,3.30,14.3
68,99,69,210.1,133.3,159.7,0.675,0.835,0.760,3.41,16.3
69,99,73,260.6,152.5,179.3,0.585,0.851,0.688,4.23,13.6
70,99,57,202.0,107.6,142.3,0.563,0.756,0.705,3.20,9.1
71,99,69,84.0,48.8,64.8,0.582,0.753,0.771,3.59,7.5
72,99,63,98.7,43.0,67.5,0.413,0.637,0.684,5.52,12.6
73,99,63,104.0,51.1,75.2,0.517,0.679,0.724,4.60,13.7
74,99,52,120.6,67.4,91.7,0.522,0.735,0.760,5.48,12.5
75,99,60,102.9,30.5,62.2,0.318,0.490,0.604,6.79,13.2
76,99,56,107.8,49.7,79.1,0.464,0.629,0.734,5.13,10.9
77,99,48,120.5,68.6,87.7,0.589,0.782,0.728,4.41,13.7
78,99,51,89.8,28.2,58.8,0.357,0.480,0.655,4.85,6.5
79,99,63,130.2,75.4,90.5,0.603,0.833,0.695,4.30,13.1
80,99,56,99.8,50.9,61.3,0.509,0.830,0.614,6.44,14.7
81,99,59,82.2,27.6,53.3,0.327,0.518,0.649,7.22,11.6
82,99,75,81.6,39.1,59.6,0.456,0.655,0.731,5.12,11.3
83,99,66,102.6,31.0,64.7,0.311,0.479,0.631,6.77,13.5
84,99,49,115.0,32.6,74.2,0.298,0.439,0.645,3.74,10.5
85,99,64,97.0,57.5,72.9,0.553,0.789,0.751,4.17,9.9
86,99,51,133.5,53.1,81.9,0.397,0.648,0.613,5.51,13.5
87,99,69,88.3,37.5,63.3,0.430,0.592,0.717,5.80,11.5
88,99,76,153.8,45.0,88.4,0.325,0.509,0.575,4.50,10.7
89,99,68,118.3,49.2,78.0,0.416,0.631,0.659,4.11,12.6
90,99,59,143.1,83.1,105.8,0.548,0.786,0.739,3.82,11.3
91,99,71,123.7,48.9,77.3,0.391,0.633,0.625,7.04,11.5
92,99,48,70.5,31.4,49.0,0.417,0.641,0.695,4.20,12.8
93,99,68,94.0,29.6,63.2,0.318,0.468,0.673,3.17,10.4
94,99,54,105.6,51.9,70.0,0.508,0.742,0.663,7.52,9.4
95,99,66,123.7,59.4,89.0,0.450,0.668,0.719,5.17,11.5
96,99,57,88.0,49.3,62.5,0.540,0.788,0.711,4.08,13.3
97,99,58,87.0,46.8,63.5,0.532,0.736,0.730,4.58,9.0
98,99,52,148.6,72.6,105.4,0.465,0.689,0.709,5.07,10.3
99,99,66,134.8,87.6,112.0,0.661,0.782,0.831,7.40,8.5
100,99,67,109.6,54.4,74.1,0.493,0.733,0.677,4.79,5.8
101,99,49,132.3,54.8,91.1,0.412,0.601,0.688,5.59,8.4
102,99,54,109.4,46.4,77.8,0.401,0.596,0.711,4.60,12.4
103,99,50,122.1,51.0,81.5,0.396,0.625,0.667,4.48,13.0
104,99,60,146.6,60.1,99.9,0.387,0.601,0.681,3.84,8.9
105,99,59,109.1,41.8,70.6,0.399,0.592,0.647,4.97,9.2
106,99,63,139.9,69.7,95.7,0.480,0.729,0.684,3.80,10.7
107,99,57,55.6,25.6,38.1,0.456,0.672,0.686,3.38,10.6
108,99,72,98.9,37.4,65.3,0.401,0.572,0.661,6.47,8.7
109,99,82,134.9,58.0,87.1,0.405,0.666,0.646,4.65,10.1
110,99,64,84.4,55.9,71.1,0.667,0.787,0.843,5.94,14.6
111,99,57,144.3,64.6,100.5,0.455,0.642,0.697,4.82,11.4
112,99,57,134.4,28.3,74.6,0.225,0.379,0.555,4.26,10.9
113,99,59,85.6,45.4,63.2,0.499,0.717,0.739,4.74,5.6
114,99,62,92.8,36.8,59.6,0.456,0.617,0.642,4.14,11.9
115,99,56,104.0,29.9,62.0,0.281,0.483,0.597,5.54,9.5
116,99,58,99.4,50.8,72.1,0.484,0.705,0.726,3.41,8.1
117,99,63,82.1,23.9,52.8,0.295,0.452,0.643,7.68,4.9
118,99,68,64.5,18.0,40.8,0.268,0.440,0.632,5.17,9.3
119,99,50,45.3,13.6,29.2,0.291,0.466,0.646,9.99,9.9
120,99,56,68.8,24.8,45.5,0.350,0.545,0.661,5.09,5.3
121,99,68,83.9,30.6,53.5,0.364,0.571,0.638,7.57,8.9
122,99,63,73.4,23.3,47.9,0.330,0.486,0.653,7.34,8.3
123,99,68,67.8,23.7,47.3,0.354,0.502,0.697,8.68,11.4
124,99,68,71.9,19.7,42.3,0.273,0.465,0.588,5.82,10.7
125,99,61,79.3,20.1,45.7,0.258,0.440,0.577,5.62,8.4
126,99,59,44.2,13.5,24.4,0.312,0.556,0.551,6.77,8.1
127,99,57,83.2,22.1,54.2,0.278,0.408,0.651,6.02,13.9
128,99,51,61.9,23.9,42.8,0.409,0.559,0.692,8.67,6.6
129,99,58,68.2,26.1,44.2,0.388,0.590,0.648,7.62,8.3
130,99,62,81.5,19.9,46.8,0.233,0.425,0.575,5.61,9.4
131,99,67,116.4,39.4,74.4,0.325,0.529,0.639,7.17,7.8
132,99,56,96.3,32.3,65.3,0.340,0.495,0.678,7.46,8.6
133,99,61,57.0,10.9,33.1,0.193,0.328,0.581,6.51,7.3
134,99,58,61.9,15.5,37.4,0.265,0.415,0.605,6.35,10.2
135,99,66,85.8,24.9,58.9,0.304,0.423,0.686,6.27,8.0
136,99,51,69.7,20.5,40.2,0.293,0.509,0.577,4.69,6.2
137,99,49,82.6,25.3,45.2,0.314,0.559,0.547,6.27,7.1
138,99,63,48.1,10.8,28.3,0.227,0.382,0.588,7.13,8.3
139,99,57,79.0,36.8,56.8,0.465,0.647,0.720,7.53,8.3
140,99,68,52.7,10.2,32.3,0.201,0.316,0.612,8.79,9.6
141,99,53,56.5,13.2,35.4,0.213,0.371,0.628,5.05,3.1
142,99,60,98.1,38.6,73.4,0.425,0.525,0.749,6.73,9.9
143,99,59,70.9,25.4,49.0,0.368,0.518,0.692,6.12,8.5
144,99,50,54.0,19.8,36.2,0.335,0.547,0.669,6.59,3.5
145,99,72,83.5,32.8,53.9,0.382,0.609,0.645,9.64,8.1
146,1,24,4.3,2.1,3.9,0.200,0.300,0.400,0.64,0.9
147,0,32,2.1,2.9,1.4,0.200,0.300,0.400,1.88,3.8
148,1,35,12.4,1.7,3.0,0.200,0.300,0.400,1.47,3.8
149,0,38,9.6,1.0,3.8,0.200,0.300,0.400,0.67,4.1
150,1,36,7.9,0.8,6.5,0.200,0.300,0.400,1.25,2.7
151,0,30,8.3,2.0,3.0,0.200,0.300,0.400,0.95,1.8
152,1,28,4.4,1.0,4.1,0.200,0.300,0.400,0.46,2.8
153,0,31,4.9,1.9,3.5,0.200,0.300,0.400,0.93,1.5
154,1,29,11.2,2.4,6.1,0.200,0.300,0.400,1.15,3.2
155,0,23,5.8,2.7,3.5,0.200,0.300,0.400,0.47,1.6
156,1,34,3.5,1.7,4.8,0.200,0.300,0.400,-0.06,1.8
157,0,12,11.8,2.0,2.8,0.200,0.300,0.400,1.24,3.7
158,1,33,3.5,3.5,3.5,0.200,0.300,0.400,0.92,2.2
159,0,20,13.3,1.5,2.9,0.200,0.300,0.400,0.81,1.6
160,1,41,9.1,2.8,4.7,0.200,0.300,0.400,1.12,1.8
161,0,29,12.2,0.2,5.8,0.200,0.300,0.400,0.91,3.4
162,1,37,6.5,2.2,1.7,0.200,0.300,0.400,0.74,2.6
163,0,41,2.5,2.4,4.2,0.200,0.300,0.400,1.74,4.5
164,1,29,12.7,2.7,3.1,0.200,0.300,0.400,0.81,1.9
165,0,36,6.9,1.2,2.8,0.200,0.300,0.400,0.33,3.0
166,1,28,5.8,4.1,5.8,0.200,0.300,0.400,0.35,3.2
167,0,23,7.3,2.5,2.4,0.200,0.300,0.400,0.49,3.1
168,1,35,7.4,1.7,2.6,0.200,0.300,0.400,1.04,3.1
169,0,25,5.4,2.2,1.9,0.200,0.300,0.400,1.60,2.5
170,1,26,7.2,2.2,4.2,0.200,0.300,0.400,1.05,1.5
