VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,Mouse,Group,tSNE1,tSNE2,Cluster
133.32,70.25,100.01,0.527,0.702,0.750,2.52,9.57,WT_01,WT,-2.772,0.467,2
123.65,86.71,118.07,0.701,0.734,0.955,3.43,10.22,WT_01,WT,-4.185,-2.569,0
155.73,47.50,91.17,0.305,0.521,0.585,2.56,11.23,WT_01,WT,-2.116,-2.985,1
139.24,61.38,91.59,0.441,0.670,0.658,2.94,9.61,WT_01,WT,-2.162,1.605,2
153.00,104.58,130.54,0.684,0.801,0.853,3.48,10.39,WT_01,WT,-3.080,-3.271,0
150.62,63.36,115.51,0.421,0.549,0.767,6.75,8.50,WT_01,WT,-2.492,-3.455,1
107.45,69.36,77.47,0.646,0.895,0.721,4.97,9.82,WT_01,WT,1.330,1.200,2
117.35,93.03,106.08,0.793,0.877,0.904,1.37,9.25,WT_01,WT,0.935,1.187,0
137.75,83.65,109.95,0.607,0.761,0.798,5.19,7.33,WT_01,WT,-0.824,-1.916,1
131.96,68.82,107.50,0.522,0.640,0.815,3.32,6.76,WT_01,WT,-2.607,1.772,2
163.68,78.21,117.80,0.478,0.664,0.720,2.29,8.73,WT_01,WT,-4.277,-1.495,0
130.07,76.01,112.41,0.584,0.676,0.864,2.30,6.71,WT_01,WT,0.684,-3.160,1
115.24,71.61,95.02,0.621,0.754,0.825,2.05,6.47,WT_01,WT,-0.467,1.834,2
122.21,68.15,101.75,0.558,0.670,0.833,1.94,12.17,WT_01,WT,-0.406,-0.876,0
95.16,51.44,91.67,0.541,0.561,0.963,1.25,8.48,WT_01,WT,-3.093,-3.028,1
121.31,82.26,102.10,0.678,0.806,0.842,1.78,9.86,WT_01,WT,-1.426,2.558,2
123.26,74.62,102.59,0.605,0.727,0.832,2.27,11.37,WT_01,WT,-1.112,-2.978,0
76.16,71.86,76.16,0.944,0.944,1.000,3.37,8.71,WT_01,WT,-0.649,-4.335,1
105.90,49.31,78.31,0.466,0.630,0.739,3.45,10.98,WT_01,WT,-1.359,0.017,2
106.16,74.92,88.68,0.706,0.845,0.835,2.61,11.24,WT_01,WT,0.091,-1.835,0
159.47,56.37,104.33,0.353,0.540,0.654,4.87,7.68,WT_01,WT,-5.114,-2.341,1
111.97,89.66,102.62,0.801,0.874,0.916,3.75,8.18,WT_01,WT,-3.328,1.350,2
118.56,85.59,90.90,0.722,0.942,0.767,1.58,10.77,WT_01,WT,-3.091,-2.606,0
140.32,80.11,105.30,0.571,0.761,0.750,1.33,8.69,WT_01,WT,-2.343,-0.460,1
79.06,61.63,61.63,0.780,1.000,0.780,4.50,7.99,WT_01,WT,-3.814,1.325,2
104.86,102.06,104.86,0.973,0.973,1.000,2.10,6.82,WT_01,WT,-4.932,-2.920,0
169.85,104.02,135.84,0.612,0.766,0.800,3.32,8.19,WT_01,WT,-1.961,-4.257,1
104.97,104.97,104.97,1.000,1.000,1.000,5.15,8.78,WT_01,WT,-2.515,3.986,2
59.79,59.79,59.79,1.000,1.000,1.000,1.54,13.37,WT_01,WT,-1.459,-2.072,0
143.87,78.80,122.18,0.548,0.645,0.849,2.96,7.87,WT_01,WT,-1.147,-3.177,1
113.97,88.64,93.70,0.778,0.946,0.822,5.58,8.79,WT_01,WT,-0.803,1.027,2
153.47,77.21,123.50,0.503,0.625,0.805,1.63,8.88,WT_01,WT,1.150,-1.619,0
119.69,51.38,89.42,0.429,0.575,0.747,2.45,10.61,WT_01,WT,0.103,-2.512,1
77.33,59.06,72.80,0.764,0.811,0.941,4.35,7.76,WT_01,WT,-3.126,1.645,2
92.13,49.53,71.38,0.538,0.694,0.775,3.75,10.18,WT_01,WT,-3.820,1.161,0
119.70,70.26,70.26,0.587,1.000,0.587,4.29,9.79,WT_01,WT,-2.690,-1.561,1
94.91,78.75,87.34,0.830,0.902,0.920,2.94,10.33,WT_01,WT,-3.029,1.468,2
151.78,51.74,100.11,0.341,0.517,0.660,3.32,12.36,WT_02,WT,-1.883,-3.486,0
114.69,64.07,85.32,0.559,0.751,0.744,4.04,9.24,WT_02,WT,0.387,-2.750,1
127.87,62.77,89.85,0.491,0.699,0.703,2.61,10.71,WT_02,WT,-1.878,1.830,2
90.65,44.19,51.82,0.487,0.853,0.572,4.08,10.10,WT_02,WT,0.447,0.376,0
130.32,85.39,103.34,0.655,0.826,0.793,4.54,11.87,WT_02,WT,-2.129,-0.473,1
86.49,62.00,66.75,0.717,0.929,0.772,3.44,6.35,WT_02,WT,-2.452,-0.532,2
99.58,92.18,92.18,0.926,1.000,0.926,5.67,9.56,WT_02,WT,-1.105,-1.283,0
122.34,58.62,78.33,0.479,0.748,0.640,1.86,10.20,WT_02,WT,-4.071,-3.880,1
169.57,59.86,101.26,0.353,0.591,0.597,3.61,8.54,WT_02,WT,-1.997,1.036,2
102.31,89.23,101.64,0.872,0.878,0.993,3.60,7.35,WT_02,WT,-2.945,-2.831,0
124.86,73.74,110.21,0.591,0.669,0.883,5.17,7.20,WT_02,WT,-3.920,-0.966,1
109.82,54.84,68.03,0.499,0.806,0.619,3.13,11.77,WT_02,WT,-1.119,0.214,2
84.16,78.74,84.16,0.936,0.936,1.000,4.02,7.84,WT_02,WT,-3.489,-2.159,0
112.91,53.96,58.01,0.478,0.930,0.514,2.56,9.39,WT_02,WT,-3.277,-1.245,1
134.17,77.88,87.50,0.580,0.890,0.652,3.95,8.88,WT_02,WT,-3.044,0.673,2
114.71,107.80,114.71,0.940,0.940,1.000,3.61,10.26,WT_02,WT,-1.687,-3.234,0
78.19,75.82,75.82,0.970,1.000,0.970,1.14,9.37,WT_02,WT,-2.454,-2.247,1
125.83,79.74,80.20,0.634,0.994,0.637,5.17,9.68,WT_02,WT,-1.609,3.089,2
105.96,79.77,81.69,0.753,0.976,0.771,2.14,6.45,WT_02,WT,-2.190,-1.207,0
124.45,94.21,96.95,0.757,0.972,0.779,1.13,10.02,WT_02,WT,-4.202,-0.260,1
84.67,78.11,84.67,0.923,0.923,1.000,4.59,6.78,WT_02,WT,-1.737,3.057,2
125.20,49.25,79.23,0.393,0.622,0.633,0.53,9.76,WT_02,WT,-5.175,-0.404,0
160.86,54.06,116.89,0.336,0.463,0.727,4.47,6.48,WT_02,WT,-1.415,-1.239,1
106.19,67.01,81.42,0.631,0.823,0.767,3.24,8.14,WT_02,WT,-1.119,2.626,2
131.99,68.27,110.38,0.517,0.619,0.836,3.13,7.69,WT_02,WT,-3.204,-1.285,0
151.06,82.73,119.80,0.548,0.691,0.793,2.96,10.61,WT_02,WT,-2.345,-0.470,1
112.97,52.06,77.94,0.461,0.668,0.690,3.67,7.49,WT_02,WT,-2.760,0.677,2
145.05,75.97,90.30,0.524,0.841,0.623,3.92,9.61,WT_02,WT,-1.028,-1.907,0
128.65,63.45,103.87,0.493,0.611,0.807,2.31,10.65,WT_02,WT,-0.230,-2.203,1
145.07,65.40,97.44,0.451,0.671,0.672,2.44,12.20,WT_02,WT,-4.100,2.414,2
128.84,72.52,104.15,0.563,0.696,0.808,2.30,10.56,WT_02,WT,-2.104,-1.807,0
113.18,83.19,99.24,0.735,0.838,0.877,1.89,9.12,WT_02,WT,-3.721,-0.518,1
96.18,96.18,96.18,1.000,1.000,1.000,2.33,9.80,WT_02,WT,-1.421,2.188,2
85.38,85.38,85.38,1.000,1.000,1.000,0.50,9.12,WT_02,WT,-3.005,-1.535,0
107.05,107.05,107.05,1.000,1.000,1.000,2.37,8.26,WT_02,WT,-0.837,-5.015,1
126.40,70.56,107.97,0.558,0.654,0.854,4.10,11.41,WT_02,WT,-2.749,1.078,2
156.79,73.20,114.90,0.467,0.637,0.733,1.50,8.20,WT_02,WT,-3.792,-2.988,0
87.87,69.97,87.87,0.796,0.796,1.000,3.47,5.86,WT_02,WT,-4.685,-2.570,1
80.58,58.24,68.51,0.723,0.850,0.850,1.73,10.40,WT_02,WT,-3.514,0.771,2
158.31,60.19,119.54,0.380,0.504,0.755,4.63,10.61,WT_02,WT,-2.466,-1.682,0
89.04,79.32,85.58,0.891,0.927,0.961,3.12,9.56,WT_02,WT,-3.874,-4.416,1
59.37,59.37,59.37,1.000,1.000,1.000,2.90,9.10,WT_02,WT,-4.139,2.803,2
117.89,54.39,89.98,0.461,0.604,0.763,5.51,10.53,WT_02,WT,-3.852,-2.501,0
152.13,77.34,99.68,0.508,0.776,0.655,2.79,10.69,WT_02,WT,-4.561,-0.924,1
99.95,82.01,82.01,0.821,1.000,0.821,2.84,11.52,WT_02,WT,-1.957,1.066,2
127.35,65.80,109.76,0.517,0.599,0.862,4.01,6.99,WT_02,WT,-0.725,-0.227,0
131.22,68.90,104.49,0.525,0.659,0.796,1.19,9.23,WT_02,WT,-3.110,-2.355,1
115.34,86.43,112.18,0.749,0.770,0.973,4.01,9.24,WT_02,WT,-5.686,3.522,2
113.21,81.49,97.98,0.720,0.832,0.865,4.47,10.34,WT_02,WT,-2.042,-1.946,0
99.31,56.75,78.64,0.571,0.722,0.792,1.39,13.44,WT_02,WT,-1.593,-3.550,1
85.88,38.48,74.02,0.448,0.520,0.862,2.04,5.30,WT_02,WT,-0.150,1.982,2
78.83,78.83,78.83,1.000,1.000,1.000,3.24,11.51,WT_02,WT,-4.317,-1.597,0
111.64,77.64,86.41,0.695,0.898,0.774,3.28,9.15,WT_02,WT,0.234,-2.917,1
106.65,75.06,97.28,0.704,0.772,0.912,1.70,8.63,WT_02,WT,-3.046,1.812,2
125.80,60.57,93.16,0.481,0.650,0.741,1.03,8.02,WT_02,WT,-1.672,-0.786,0
133.29,68.03,95.57,0.510,0.712,0.717,5.04,8.52,WT_02,WT,-3.944,-1.142,1
122.57,93.62,109.37,0.764,0.856,0.892,2.41,7.25,WT_02,WT,-0.705,3.604,2
131.54,78.85,113.67,0.599,0.694,0.864,3.79,8.62,WT_02,WT,0.196,-2.036,0
127.53,65.49,91.17,0.513,0.718,0.715,3.07,5.72,WT_02,WT,-3.714,-1.925,1
116.90,60.72,77.00,0.519,0.789,0.659,4.49,8.54,WT_02,WT,0.181,1.012,2
89.73,61.45,75.78,0.685,0.811,0.844,3.00,9.72,WT_02,WT,-3.445,-2.203,0
139.94,52.15,92.00,0.373,0.567,0.657,2.39,6.19,WT_02,WT,-2.519,-0.057,1
72.15,65.58,72.15,0.909,0.909,1.000,2.10,9.49,WT_02,WT,-4.370,2.532,2
134.01,101.56,130.57,0.758,0.778,0.974,3.45,9.41,WT_02,WT,-2.138,-1.861,0
105.46,29.01,82.79,0.275,0.350,0.785,2.27,10.85,WT_02,WT,-0.611,0.608,1
74.98,58.19,65.63,0.776,0.887,0.875,0.87,8.37,WT_02,WT,-3.290,0.878,2
83.12,63.86,63.86,0.768,1.000,0.768,2.69,6.84,WT_02,WT,-1.635,-3.386,0
102.51,69.16,77.49,0.675,0.893,0.756,4.37,5.94,WT_02,WT,-2.977,-2.630,1
88.93,80.58,88.05,0.906,0.915,0.990,4.07,9.84,WT_02,WT,-0.486,-0.600,2
114.32,81.88,109.51,0.716,0.748,0.958,2.23,6.95,WT_02,WT,-0.177,-0.276,0
125.65,56.42,76.76,0.449,0.735,0.611,2.55,12.28,WT_02,WT,-1.491,-0.974,1
96.88,59.01,73.23,0.609,0.806,0.756,4.25,11.22,WT_02,WT,-3.695,1.822,2
100.91,75.38,100.91,0.747,0.747,1.000,2.71,9.46,WT_02,WT,-1.118,-1.147,0
146.58,75.13,114.47,0.513,0.656,0.781,3.66,8.86,WT_02,WT,-1.253,-1.853,1
145.02,86.56,116.59,0.597,0.742,0.804,0.60,8.49,WT_02,WT,-2.978,1.842,2
151.65,86.13,138.60,0.568,0.621,0.914,1.72,10.60,WT_02,WT,-3.008,-2.519,0
155.54,60.54,111.09,0.389,0.545,0.714,4.12,9.15,WT_02,WT,-4.281,-0.411,1
130.43,82.59,108.01,0.633,0.765,0.828,4.63,5.82,WT_02,WT,-3.427,3.352,2
111.68,68.84,85.56,0.616,0.805,0.766,1.66,9.78,WT_02,WT,-0.762,-1.556,0
88.30,62.35,84.60,0.706,0.737,0.958,1.85,10.92,WT_02,WT,-1.456,-1.276,1
129.04,78.11,99.13,0.605,0.788,0.768,0.78,7.62,WT_02,WT,-1.352,-0.336,2
92.89,66.60,78.09,0.717,0.853,0.841,2.70,6.24,WT_02,WT,-4.378,-1.970,0
107.79,47.78,79.86,0.443,0.598,0.741,1.51,9.69,WT_02,WT,-2.167,-1.493,1
110.51,72.91,99.70,0.660,0.731,0.902,3.30,9.31,WT_02,WT,-4.376,2.029,2
118.02,88.21,88.21,0.747,1.000,0.747,4.35,7.35,WT_02,WT,-4.782,-1.923,0
138.53,80.54,115.21,0.581,0.699,0.832,2.72,3.01,WT_02,WT,-2.783,0.023,1
122.85,64.15,80.27,0.522,0.799,0.653,2.70,8.50,WT_02,WT,0.224,1.709,2
107.21,77.91,90.68,0.727,0.859,0.846,3.54,10.33,WT_02,WT,-4.516,-1.149,0
143.47,74.27,94.44,0.518,0.786,0.658,2.87,9.07,WT_02,WT,-4.432,-1.398,1
106.04,53.50,59.78,0.505,0.895,0.564,2.23,11.83,WT_02,WT,-0.866,1.468,2
131.08,61.09,100.33,0.466,0.609,0.765,2.51,5.58,WT_02,WT,-2.977,-0.385,0
114.69,110.41,113.21,0.963,0.975,0.987,2.84,7.40,WT_02,WT,-4.864,-2.098,1
164.99,82.27,114.55,0.499,0.718,0.694,7.01,9.51,WT_02,WT,-3.091,0.857,2
89.43,89.43,89.43,1.000,1.000,1.000,2.26,10.45,WT_02,WT,-5.254,-1.119,0
123.17,75.66,87.67,0.614,0.863,0.712,1.84,7.58,WT_02,WT,-0.987,-1.041,1
142.57,86.31,128.23,0.605,0.673,0.899,4.56,13.37,WT_02,WT,-2.915,2.866,2
123.53,60.75,108.24,0.492,0.561,0.876,3.06,8.92,WT_02,WT,-2.657,-3.146,0
109.65,66.13,81.02,0.603,0.816,0.739,5.77,8.85,WT_02,WT,-3.232,-2.755,1
143.38,45.60,89.44,0.318,0.510,0.624,4.23,9.53,WT_02,WT,-0.079,2.684,2
122.85,96.77,112.28,0.788,0.862,0.914,6.71,9.58,WT_02,WT,-1.641,-2.379,0
110.24,80.94,103.49,0.734,0.782,0.939,2.89,8.53,WT_02,WT,-2.689,-0.527,1
117.06,47.51,79.80,0.406,0.595,0.682,2.49,10.36,WT_02,WT,-0.731,1.799,2
165.68,49.99,120.88,0.302,0.414,0.730,0.50,9.82,WT_02,WT,-1.518,-2.018,0
101.16,44.78,58.00,0.443,0.772,0.573,3.28,8.28,WT_02,WT,-3.776,-3.563,1
92.58,90.36,90.36,0.976,1.000,0.976,3.76,10.70,WT_02,WT,-0.245,0.613,2
147.10,53.59,82.67,0.364,0.648,0.562,2.45,7.59,WT_02,WT,-3.439,-2.544,0
88.26,46.39,65.17,0.526,0.712,0.738,0.78,8.65,WT_02,WT,-1.865,-1.534,1
179.51,75.71,134.97,0.422,0.561,0.752,2.65,9.12,WT_02,WT,-1.911,2.993,2
78.52,78.52,78.52,1.000,1.000,1.000,4.29,6.37,WT_02,WT,-4.231,-1.289,0
108.45,51.23,75.70,0.472,0.677,0.698,4.16,5.20,WT_02,WT,-0.389,-1.987,1
70.08,44.15,70.08,0.630,0.630,1.000,3.92,5.91,KO_01,KO,4.805,2.225,3
58.67,29.23,44.69,0.498,0.654,0.762,3.35,7.03,KO_01,KO,2.035,1.590,4
84.30,11.65,33.33,0.138,0.350,0.395,6.21,2.98,KO_01,KO,1.263,2.317,2
85.02,20.25,31.36,0.238,0.646,0.369,3.33,6.36,KO_01,KO,2.952,1.655,3
68.99,52.17,52.17,0.756,1.000,0.756,5.30,7.64,KO_01,KO,4.013,3.392,4
89.76,39.07,74.87,0.435,0.522,0.834,5.77,4.88,KO_01,KO,4.007,2.899,2
100.02,45.69,80.33,0.457,0.569,0.803,5.64,4.50,KO_01,KO,1.704,3.877,3
72.56,34.85,34.85,0.480,1.000,0.480,6.73,5.53,KO_01,KO,2.586,1.695,4
53.46,53.46,53.46,1.000,1.000,1.000,6.14,7.26,KO_01,KO,0.457,2.675,2
94.98,43.52,76.74,0.458,0.567,0.808,3.54,4.92,KO_01,KO,2.105,1.291,3
90.41,22.38,48.81,0.247,0.458,0.540,6.27,10.27,KO_01,KO,5.395,3.521,4
86.10,39.49,54.02,0.459,0.731,0.627,3.76,8.19,KO_01,KO,-0.772,-0.169,2
87.73,46.18,61.99,0.526,0.745,0.707,2.69,5.41,KO_01,KO,2.885,3.653,3
91.66,29.32,53.60,0.320,0.547,0.585,5.75,2.77,KO_01,KO,2.540,2.158,4
82.25,44.41,62.19,0.540,0.714,0.756,5.04,4.96,KO_01,KO,2.720,2.036,2
51.38,50.58,50.58,0.985,1.000,0.985,5.25,5.54,KO_01,KO,6.059,1.617,3
75.06,43.36,58.43,0.578,0.742,0.778,3.81,4.22,KO_01,KO,0.604,3.228,4
74.33,74.33,74.33,1.000,1.000,1.000,4.87,5.39,KO_01,KO,1.106,2.107,2
115.14,32.21,57.69,0.280,0.558,0.501,6.79,5.19,KO_01,KO,0.567,1.792,3
34.38,34.38,34.38,1.000,1.000,1.000,6.17,8.02,KO_01,KO,1.820,3.128,4
77.24,28.35,77.24,0.367,0.367,1.000,4.67,6.38,KO_01,KO,-1.049,2.709,2
107.84,59.77,74.08,0.554,0.807,0.687,6.16,9.50,KO_01,KO,0.306,1.178,3
95.70,43.73,72.85,0.457,0.600,0.761,2.43,3.48,KO_01,KO,3.760,2.868,4
76.81,67.98,67.98,0.885,1.000,0.885,5.98,8.31,KO_01,KO,2.640,-0.533,2
69.40,26.30,49.06,0.379,0.536,0.707,4.41,9.37,KO_01,KO,2.939,-0.956,3
63.38,39.81,55.25,0.628,0.721,0.872,4.86,7.24,KO_01,KO,1.177,2.693,4
98.19,44.05,74.53,0.449,0.591,0.759,5.24,4.85,KO_01,KO,3.004,0.338,2
67.20,28.80,56.57,0.429,0.509,0.842,5.09,3.55,KO_01,KO,3.679,1.960,3
73.46,45.46,61.37,0.619,0.741,0.835,5.50,6.49,KO_01,KO,0.709,2.298,4
72.37,3.74,40.99,0.052,0.091,0.566,5.66,4.57,KO_01,KO,0.947,2.193,2
115.16,38.55,89.80,0.335,0.429,0.780,5.01,9.19,KO_01,KO,3.209,1.009,3
102.15,81.99,98.52,0.803,0.832,0.964,1.54,1.78,KO_01,KO,4.654,1.501,4
105.58,13.29,53.68,0.126,0.248,0.508,4.04,8.45,KO_01,KO,2.940,1.279,2
99.52,40.94,53.72,0.411,0.762,0.540,3.56,7.95,KO_01,KO,1.334,2.800,3
143.79,37.33,98.15,0.260,0.380,0.683,4.90,7.55,KO_01,KO,-0.173,-1.189,4
74.32,40.34,65.08,0.543,0.620,0.876,6.20,3.24,KO_01,KO,3.062,1.811,2
81.23,24.63,37.11,0.303,0.664,0.457,4.91,4.95,KO_01,KO,1.797,4.109,3
98.07,44.40,76.68,0.453,0.579,0.782,5.65,5.24,KO_01,KO,3.001,2.202,4
90.43,69.31,90.43,0.766,0.766,1.000,6.33,7.38,KO_01,KO,3.061,2.074,2
37.45,36.18,37.45,0.966,0.966,1.000,4.70,7.06,KO_01,KO,1.899,2.268,3
