Type,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,Mouse,Group
99,29.86,8.04,12.45,0.269,0.646,0.417,1.03,8.72,HUMAN_S01,subfertile
99,0.25,0.25,0.25,1,1,1,0.46,0.1,HUMAN_S01,subfertile
99,24.92,6.25,13.11,0.251,0.477,0.526,1.6,11.57,HUMAN_S01,subfertile
99,53.79,20,53.79,0.372,0.372,1,1.49,15.44,HUMAN_S01,subfertile
99,1.84,1.01,1.01,0.548,1,0.548,0.54,1.01,HUMAN_S01,subfertile
99,57.51,21.45,52.03,0.373,0.412,0.905,4.07,13.43,HUMAN_S01,subfertile
99,37.92,26.57,26.57,0.701,1,0.701,2.4,15.72,HUMAN_S01,subfertile
99,2.67,0.43,0.43,0.16,1,0.16,0.32,0.68,HUMAN_S01,subfertile
99,0.02,0.02,0.02,1,1,1,0.66,0,HUMAN_S01,subfertile
99,2.82,0.67,0.67,0.236,1,0.236,0.29,1.82,HUMAN_S01,subfertile
99,22.6,4.47,18.68,0.198,0.239,0.826,1.27,6.5,HUMAN_S02,subfertile
99,19.08,4.66,19.08,0.244,0.244,1,1.84,8.9,HUMAN_S02,subfertile
99,2.6,0.67,0.67,0.257,1,0.257,0.51,1.35,HUMAN_S02,subfertile
99,1.09,0.78,0.78,0.715,1,0.715,0.92,0.65,HUMAN_S02,subfertile
99,0.08,0.02,0.02,0.313,1,0.313,0.37,1.5,HUMAN_S02,subfertile
99,19.99,13.15,13.15,0.658,1,0.658,2.11,10.83,HUMAN_S02,subfertile
99,29.11,4.62,15.18,0.159,0.305,0.521,1.37,8.29,HUMAN_S02,subfertile
99,158.43,60.19,97.4,0.38,0.618,0.615,9.39,15.58,HUMAN_S02,subfertile
99,65.19,48.91,60.6,0.75,0.807,0.929,1.52,8.62,HUMAN_S02,subfertile
99,4.65,0.91,0.91,0.195,1,0.195,0.48,1.06,HUMAN_S02,subfertile
99,21.12,7.65,20.23,0.362,0.378,0.958,1.51,7.31,HUMAN_S02,subfertile
99,43.83,27.59,43.83,0.63,0.63,1,3.36,7.41,HUMAN_S02,subfertile
99,27.43,3.8,16.95,0.138,0.224,0.618,1.72,11.52,HUMAN_S02,subfertile
99,1.83,0.38,0.38,0.21,1,0.21,0.31,0.83,HUMAN_S02,subfertile
99,26.93,12.84,16.45,0.477,0.781,0.611,1.66,7.39,HUMAN_S02,subfertile
99,14.2,5.97,6.86,0.42,0.871,0.483,1.4,8.19,HUMAN_S02,subfertile
99,24.69,6.78,14.12,0.275,0.48,0.572,2.09,5.95,HUMAN_S02,subfertile
99,2.71,0.36,0.36,0.131,1,0.131,0.37,1.18,HUMAN_S02,subfertile
99,2.4,0.59,0.59,0.244,1,0.244,0.71,0.81,HUMAN_S02,subfertile
99,1.87,0.75,0.75,0.4,1,0.4,0.76,0.67,HUMAN_S02,subfertile
99,0,0,0,0,0,0,0.47,1.51,HUMAN_S02,subfertile
99,2.92,0.25,0.25,0.084,1,0.084,0.22,0.93,HUMAN_S02,subfertile
99,2.73,0.1,0.1,0.035,1,0.035,0.87,1.05,HUMAN_S02,subfertile
99,29.19,29.19,29.19,1,1,1,2.94,8.13,HUMAN_S02,subfertile
99,22.76,7.72,15.67,0.339,0.493,0.688,1.03,4.7,HUMAN_S02,subfertile
99,3.85,0.2,0.2,0.051,1,0.051,0.33,0.14,HUMAN_S02,subfertile
99,31.72,8.84,13.74,0.279,0.644,0.433,2.31,8.4,HUMAN_S02,subfertile
99,2.55,0.56,0.56,0.22,1,0.22,0.64,1.04,HUMAN_S02,subfertile
99,18.52,9.77,16.98,0.528,0.576,0.917,1.05,9.45,HUMAN_S02,subfertile
99,15.39,6.41,10.28,0.417,0.624,0.668,1.68,6.1,HUMAN_S02,subfertile
99,29,14.47,14.47,0.499,1,0.499,0.84,8.73,HUMAN_S02,subfertile
99,26.68,9.68,14.49,0.363,0.668,0.543,2.15,6.54,HUMAN_S02,subfertile
99,21.69,0,15.01,0,0,0.692,0.86,10.51,HUMAN_S02,subfertile
99,2.78,0.72,0.72,0.258,1,0.258,0.94,1.67,HUMAN_S02,subfertile
99,26.08,10.88,10.88,0.417,1,0.417,1.85,7.62,HUMAN_S02,subfertile
99,68.31,20,46.4,0.293,0.431,0.679,1.46,9.59,HUMAN_S02,subfertile
99,2.58,0.69,0.69,0.269,1,0.269,0.52,0.37,HUMAN_S02,subfertile
99,2.16,0.67,0.67,0.308,1,0.308,0.85,1.1,HUMAN_S02,subfertile
99,3.38,1.05,1.05,0.311,1,0.311,0.17,1.01,HUMAN_S02,subfertile
99,18.47,1.22,11.8,0.066,0.103,0.639,1.8,7.53,HUMAN_S02,subfertile
99,2.33,0.32,0.32,0.136,1,0.136,0.58,1.89,HUMAN_S02,subfertile
99,21.95,7.04,18.13,0.321,0.388,0.826,0.5,9.29,HUMAN_S02,subfertile
99,1.56,0.68,0.68,0.436,1,0.436,0.61,1.33,HUMAN_S02,subfertile
99,53.75,20,46.17,0.372,0.433,0.859,3.09,14.09,HUMAN_S02,subfertile
99,10.81,6.82,10.81,0.631,0.631,1,1.33,5.89,HUMAN_S02,subfertile
99,63.79,23.05,29.88,0.361,0.771,0.468,1.36,8.93,HUMAN_S02,subfertile
99,39.46,32.71,32.71,0.829,1,0.829,1.77,8.28,HUMAN_S02,subfertile
99,53.94,20,34.49,0.371,0.58,0.639,2.6,12.62,HUMAN_S02,subfertile
99,2.03,0.24,0.24,0.117,1,0.117,0.15,0.54,HUMAN_S02,subfertile
99,20.66,6.46,18.53,0.313,0.349,0.897,1.54,11.04,HUMAN_S02,subfertile
99,63.56,33.14,45.85,0.521,0.723,0.721,1.77,14.21,HUMAN_S02,subfertile
99,1.16,0.55,0.55,0.47,1,0.47,0.58,0.75,HUMAN_S02,subfertile
99,99.31,22.98,59.91,0.231,0.384,0.603,2.98,12.37,HUMAN_S02,subfertile
99,2.37,0.19,0.19,0.082,1,0.082,0.24,0.58,HUMAN_S02,subfertile
99,2.1,0.55,0.55,0.261,1,0.261,0.49,1.15,HUMAN_S02,subfertile
99,20.06,9.66,14.69,0.481,0.657,0.733,0.66,4.89,HUMAN_S02,subfertile
99,27.53,9.31,20.47,0.338,0.455,0.744,1.82,6.7,HUMAN_S02,subfertile
99,22.34,7.34,12.39,0.328,0.592,0.554,0.94,9.28,HUMAN_S02,subfertile
99,46.64,20,29.9,0.429,0.669,0.641,3.68,11.27,HUMAN_S02,subfertile
99,0.94,0.8,0.8,0.854,1,0.854,0.3,0.79,HUMAN_S02,subfertile
99,29.26,25.99,28.79,0.888,0.903,0.984,2,11.2,HUMAN_S02,subfertile
99,1.13,0.65,0.65,0.573,1,0.573,0.27,1.26,HUMAN_S02,subfertile
99,27.16,9.28,9.28,0.342,1,0.342,1.47,9.48,HUMAN_S02,subfertile
99,33.29,5.43,17.78,0.163,0.305,0.534,1.58,9.47,HUMAN_S02,subfertile
99,0.59,0.3,0.3,0.502,1,0.502,0.46,0.3,HUMAN_S02,subfertile
99,2.4,0.77,0.77,0.321,1,0.321,0.45,2.02,HUMAN_S02,subfertile
99,0.87,0.75,0.75,0.868,1,0.868,0.47,0.89,HUMAN_S02,subfertile
99,17.48,6.35,11.61,0.363,0.547,0.664,2.12,6.76,HUMAN_S02,subfertile
99,4.74,0.27,0.27,0.057,1,0.057,0.27,0.35,HUMAN_S02,subfertile
99,1.26,0.61,0.61,0.481,1,0.481,0.23,0.91,HUMAN_S02,subfertile
99,29.43,29.43,29.43,1,1,1,1.37,10.65,HUMAN_S02,subfertile
99,21.89,7.33,10.66,0.335,0.688,0.487,0.82,7.29,HUMAN_S02,subfertile
99,30.89,7.23,16.95,0.234,0.427,0.549,1.11,7.22,HUMAN_S02,subfertile
99,2.93,0.77,0.77,0.262,1,0.262,0.67,1.1,HUMAN_S02,subfertile
99,0.38,0.08,0.08,0.203,1,0.203,0.24,1.78,HUMAN_S02,subfertile
99,22.83,22.83,22.83,1,1,1,2.62,11.5,HUMAN_S02,subfertile
99,49.61,23.91,31.51,0.482,0.759,0.635,1.55,11.18,HUMAN_S02,subfertile
99,59.88,20,31.85,0.334,0.628,0.532,1,13.05,HUMAN_S02,subfertile
99,1.54,0,0,0,0,0,0.41,1.03,HUMAN_S02,subfertile
99,19.87,6.38,17.82,0.321,0.358,0.897,1.77,8.38,HUMAN_S02,subfertile
99,1.53,0.63,0.63,0.414,1,0.414,0.9,1.95,HUMAN_S02,subfertile
99,19.55,8.35,12.08,0.427,0.691,0.618,2.71,6.22,HUMAN_S02,subfertile
99,28.98,28.98,28.98,1,1,1,2.37,8.95,HUMAN_S02,subfertile
99,3.52,0.58,0.58,0.163,1,0.163,0.37,0.77,HUMAN_S02,subfertile
99,1.13,0.52,0.52,0.46,1,0.46,0.59,0.95,HUMAN_S02,subfertile
99,19.68,10.04,15.11,0.51,0.665,0.768,1.26,9.92,HUMAN_S02,subfertile
99,27.13,8.97,16.39,0.331,0.547,0.604,1.3,7.14,HUMAN_S02,subfertile
99,53.04,20,46.27,0.377,0.432,0.872,2.44,13.24,HUMAN_S02,subfertile
99,3.18,0.4,0.4,0.126,1,0.126,0.48,1.31,HUMAN_S02,subfertile
99,1.02,0.28,0.28,0.277,1,0.277,0.1,0.6,HUMAN_S02,subfertile
99,1.2,0.12,0.12,0.097,1,0.097,0.47,0.35,HUMAN_S02,subfertile
99,211.62,87.7,126.81,0.414,0.692,0.599,7.39,13.98,HUMAN_S02,subfertile
99,53.46,26.7,49.23,0.499,0.542,0.921,2.19,6.45,HUMAN_S02,subfertile
99,75.58,20.68,47.98,0.274,0.431,0.635,2.53,7.28,HUMAN_S02,subfertile
99,56.78,31.13,43.43,0.548,0.717,0.765,1.44,9.34,HUMAN_S02,subfertile
99,26.09,11.28,15.59,0.432,0.724,0.597,1.84,8.33,HUMAN_S02,subfertile
99,26.69,5.13,14.58,0.192,0.352,0.546,0.85,8.21,HUMAN_S02,subfertile
99,4.46,0.25,0.25,0.056,1,0.056,0.37,1.77,HUMAN_S02,subfertile
99,3.11,1.34,1.34,0.431,1,0.431,0.46,0.56,HUMAN_S02,subfertile
99,22,6.05,14.63,0.275,0.414,0.665,1.11,12.22,HUMAN_S02,subfertile
99,1.34,0.69,0.69,0.514,1,0.514,0.76,0.31,HUMAN_S02,subfertile
99,0.51,0.32,0.32,0.624,1,0.624,0.61,1.64,HUMAN_S02,subfertile
99,1.64,0,0,0,0,0,0.58,2.06,HUMAN_S02,subfertile
99,2.35,0.56,0.56,0.238,1,0.238,0.5,1.3,HUMAN_S02,subfertile
99,3.22,0.92,0.92,0.285,1,0.285,0.48,0.46,HUMAN_S02,subfertile
99,41.58,20,31.5,0.481,0.635,0.758,2.81,11.68,HUMAN_S02,subfertile
99,78.18,20.68,51.45,0.265,0.402,0.658,2.39,12.45,HUMAN_S02,subfertile
99,186.37,54.48,101.65,0.292,0.536,0.545,9.3,17.78,HUMAN_S02,subfertile
99,26.94,6.61,11.81,0.246,0.56,0.438,1.4,10.21,HUMAN_S02,subfertile
99,58.95,20,29.01,0.339,0.689,0.492,2.27,13.99,HUMAN_S02,subfertile
99,15.08,11.83,15.08,0.785,0.785,1,1.36,5.77,HUMAN_S02,subfertile
99,0.61,0.61,0.61,1,1,1,0.6,1.2,HUMAN_S02,subfertile
99,3.54,0.34,0.34,0.096,1,0.096,0.54,0.04,HUMAN_S02,subfertile
99,32.47,6.75,12.99,0.208,0.52,0.4,1.09,9.23,HUMAN_S02,subfertile
99,2.43,0,0,0,0,0,0.55,1.4,HUMAN_S02,subfertile
99,3.52,0,0,0,0,0,0.5,1.19,HUMAN_S02,subfertile
99,2.51,0.55,0.55,0.22,1,0.22,0.43,0.59,HUMAN_S02,subfertile
99,29.74,2.57,25.51,0.086,0.101,0.858,1.23,4.46,HUMAN_S02,subfertile
99,2.4,0.77,0.77,0.321,1,0.321,0.15,1.51,HUMAN_S02,subfertile
99,1.92,0.43,0.43,0.226,1,0.226,0.43,1.33,HUMAN_S02,subfertile
99,20.77,8.29,20.77,0.399,0.399,1,1.38,7.48,HUMAN_S02,subfertile
99,3.74,0.48,0.48,0.129,1,0.129,0.9,1.19,HUMAN_S02,subfertile
99,36.34,7.51,15.26,0.207,0.492,0.42,1.84,5.2,HUMAN_S02,subfertile
99,2.43,0.33,0.33,0.135,1,0.135,0.26,1.2,HUMAN_S02,subfertile
99,2.43,0.59,0.59,0.244,1,0.244,0.83,0.97,HUMAN_S02,subfertile
99,61.84,23.27,33.48,0.376,0.695,0.541,1.81,7.62,HUMAN_S02,subfertile
99,25.32,4.16,12.03,0.164,0.346,0.475,1.81,10.59,HUMAN_S02,subfertile
99,1.42,0.87,0.87,0.617,1,0.617,0.84,0.69,HUMAN_S02,subfertile
99,1.97,0.38,0.38,0.194,1,0.194,0.65,1.02,HUMAN_S02,subfertile
99,2.42,0.54,0.54,0.224,1,0.224,0.61,0.77,HUMAN_S02,subfertile
99,20.52,4.6,17.71,0.224,0.26,0.863,1.25,8.59,HUMAN_S02,subfertile
99,2.69,0.13,0.13,0.049,1,0.049,0.4,0.71,HUMAN_S02,subfertile
99,1.82,0.3,0.3,0.167,1,0.167,0.19,1.06,HUMAN_S02,subfertile
99,2.4,0.41,0.41,0.171,1,0.171,0.33,0,HUMAN_S02,subfertile
99,3.19,0.9,0.9,0.282,1,0.282,0.7,0.93,HUMAN_S02,subfertile
99,0.68,0.47,0.47,0.684,1,0.684,0.49,1.42,HUMAN_S02,subfertile
99,67.1,32.4,40.96,0.483,0.791,0.61,2.32,16.15,HUMAN_S02,subfertile
99,29.96,12.18,12.18,0.406,1,0.406,1.86,7.4,HUMAN_S02,subfertile
99,0.24,0,0,0.01,1,0.01,0.23,1.33,HUMAN_S02,subfertile
99,2.94,0.71,0.71,0.242,1,0.242,0.36,1.17,HUMAN_S02,subfertile
99,24.57,6.07,19.92,0.247,0.305,0.811,1.67,9.91,HUMAN_S02,subfertile
99,1.54,0.58,0.58,0.373,1,0.373,0.45,0.76,HUMAN_S02,subfertile
99,19.75,10.85,13.46,0.549,0.806,0.681,0.95,5.97,HUMAN_S02,subfertile
99,2.79,0.62,0.62,0.223,1,0.223,0.54,0.57,HUMAN_S02,subfertile
99,13,7.07,12.17,0.544,0.581,0.936,1.49,6.57,HUMAN_S02,subfertile
99,23.6,10.46,13.17,0.443,0.794,0.558,1.53,6.13,HUMAN_S03,subfertile
99,33.94,14.94,14.94,0.44,1,0.44,1.21,6.87,HUMAN_S03,subfertile
99,52.1,20,41.83,0.384,0.478,0.803,3.19,8.83,HUMAN_S03,subfertile
99,26.58,7.58,12.57,0.285,0.603,0.473,1.56,8.21,HUMAN_S03,subfertile
99,1.72,0.5,0.5,0.291,1,0.291,0.09,1.59,HUMAN_S03,subfertile
99,2.17,1.19,1.19,0.546,1,0.546,0.42,0,HUMAN_S03,subfertile
