Type,VCL,VSL,VAP,LIN,STR,WOB,ALH,BCF,Mouse,Group
99,26.41,8.27,13.48,0.313,0.614,0.51,0.5,9.17,HUMAN_F01,fertile
99,96.68,30.73,54.8,0.318,0.561,0.567,5.08,19.97,HUMAN_F01,fertile
99,71.87,38.18,50.1,0.531,0.762,0.697,4.74,22.09,HUMAN_F01,fertile
99,75.07,56.73,67.42,0.756,0.841,0.898,3.77,27.95,HUMAN_F01,fertile
99,1.16,0.54,0.54,0.463,1,0.463,0.79,1.81,HUMAN_F01,fertile
99,26.73,6.6,18.06,0.247,0.366,0.676,1.2,12,HUMAN_F01,fertile
99,38.38,5.32,22.69,0.139,0.234,0.591,2.14,5.04,HUMAN_F01,fertile
99,30.6,3.29,12.01,0.107,0.274,0.392,1.49,7.94,HUMAN_F01,fertile
99,20.66,9.2,12.84,0.446,0.717,0.622,1.93,6.92,HUMAN_F01,fertile
99,2.37,0.36,0.36,0.154,1,0.154,0.19,1.04,HUMAN_F01,fertile
99,73.26,61.3,62.77,0.837,0.977,0.857,3.86,20.53,HUMAN_F01,fertile
99,25.08,7.55,14.7,0.301,0.513,0.586,0.81,7.73,HUMAN_F01,fertile
99,25.86,6.67,17.1,0.258,0.39,0.661,1.38,10.23,HUMAN_F01,fertile
99,127.18,38.69,83.05,0.304,0.466,0.653,3.08,18.7,HUMAN_F01,fertile
99,94.79,53.09,85.89,0.56,0.618,0.906,4.37,20.17,HUMAN_F01,fertile
99,1.32,0.47,0.47,0.359,1,0.359,0.34,1.16,HUMAN_F01,fertile
99,110.62,39.09,81.82,0.353,0.478,0.74,3.85,15.81,HUMAN_F01,fertile
99,1.39,0.52,0.52,0.377,1,0.377,0.55,1.17,HUMAN_F01,fertile
99,2.83,0.84,0.84,0.295,1,0.295,0.34,1.87,HUMAN_F01,fertile
99,1.3,0.16,0.16,0.123,1,0.123,0.63,1.35,HUMAN_F01,fertile
99,2.44,1.06,1.06,0.436,1,0.436,0.41,1.99,HUMAN_F01,fertile
99,23.93,6.44,12.15,0.269,0.53,0.508,0.98,7.68,HUMAN_F01,fertile
99,2.81,0.38,0.38,0.136,1,0.136,0.62,1,HUMAN_F01,fertile
99,124.72,43.94,102.31,0.352,0.429,0.82,1.74,20.59,HUMAN_F01,fertile
99,2.14,0.3,0.3,0.139,1,0.139,0.1,1.19,HUMAN_F01,fertile
99,122.89,53.02,90.99,0.431,0.583,0.74,4.19,18.56,HUMAN_F01,fertile
99,102.56,35.37,68.04,0.345,0.52,0.663,3.47,21.37,HUMAN_F01,fertile
99,1.03,0.42,0.42,0.406,1,0.406,0.51,1.04,HUMAN_F01,fertile
99,102.57,56.21,72.79,0.548,0.772,0.71,3.42,23.5,HUMAN_F01,fertile
99,21.95,5.28,16.55,0.241,0.319,0.754,1.48,9.05,HUMAN_F01,fertile
99,27.74,7.47,14.51,0.269,0.515,0.523,2.28,9.49,HUMAN_F01,fertile
99,0,0,0,0,0,0,0.58,1.64,HUMAN_F01,fertile
99,1.98,0.24,0.24,0.123,1,0.123,0.32,0.8,HUMAN_F01,fertile
99,95.21,42.99,65.3,0.452,0.658,0.686,4.18,17.58,HUMAN_F01,fertile
99,30.62,2.82,11.85,0.092,0.238,0.387,1.5,11.22,HUMAN_F01,fertile
99,1.57,0.34,0.34,0.218,1,0.218,0.4,1.15,HUMAN_F01,fertile
99,2.81,0.93,0.93,0.33,1,0.33,0.31,1.48,HUMAN_F01,fertile
99,82.71,55.18,72.54,0.667,0.761,0.877,4.06,20.19,HUMAN_F01,fertile
99,1.95,0.4,0.4,0.203,1,0.203,0.66,1.26,HUMAN_F01,fertile
99,1.53,0,0,0,0,0,0.46,0.65,HUMAN_F01,fertile
99,17.35,11.26,15.68,0.649,0.718,0.904,1.31,6.31,HUMAN_F01,fertile
99,218.61,81.15,126.24,0.371,0.643,0.577,8.4,16.21,HUMAN_F01,fertile
99,167.4,69,96.36,0.412,0.716,0.576,9.81,14.91,HUMAN_F01,fertile
99,1.83,0.15,0.15,0.084,1,0.084,0.45,2.28,HUMAN_F01,fertile
99,93.27,39.93,60.66,0.428,0.658,0.65,3.39,23.02,HUMAN_F01,fertile
99,107.46,66.9,76.2,0.623,0.878,0.709,3.28,19.94,HUMAN_F01,fertile
99,92,41.64,55.75,0.453,0.747,0.606,4.97,20.8,HUMAN_F01,fertile
99,99.64,50.53,57.03,0.507,0.886,0.572,3.2,21.85,HUMAN_F01,fertile
99,2.72,0.51,0.51,0.186,1,0.186,0.17,1.57,HUMAN_F01,fertile
99,85.82,46.44,70.88,0.541,0.655,0.826,3.87,22.04,HUMAN_F01,fertile
99,74.79,47.28,60.38,0.632,0.783,0.807,3.1,22.74,HUMAN_F01,fertile
99,110.48,40.29,79.77,0.365,0.505,0.722,4.06,23.09,HUMAN_F01,fertile
99,100.63,63.52,79.07,0.631,0.803,0.786,2.99,19.93,HUMAN_F01,fertile
99,80.86,49.51,80.56,0.612,0.615,0.996,2.36,22.05,HUMAN_F01,fertile
99,23.53,13,13,0.553,1,0.553,1.27,8.92,HUMAN_F01,fertile
99,79.05,54.48,65.59,0.689,0.831,0.83,3.65,15.82,HUMAN_F01,fertile
99,56.26,45.23,46.53,0.804,0.972,0.827,3.23,22.19,HUMAN_F01,fertile
99,114.25,43.46,76.44,0.38,0.569,0.669,3.95,26.56,HUMAN_F01,fertile
99,110.89,45.61,77.38,0.411,0.589,0.698,3.83,20.02,HUMAN_F01,fertile
99,19.25,10.01,10.01,0.52,1,0.52,1.78,9.44,HUMAN_F01,fertile
99,127.16,49.1,90.39,0.386,0.543,0.711,2.72,17.75,HUMAN_F01,fertile
99,115.55,50.88,73.47,0.44,0.692,0.636,4.98,19.51,HUMAN_F01,fertile
99,139.67,47.17,92.34,0.338,0.511,0.661,3.65,21.68,HUMAN_F01,fertile
99,124.42,55.54,88.02,0.446,0.631,0.707,2.79,18.56,HUMAN_F01,fertile
99,0.86,0.65,0.65,0.757,1,0.757,0.79,2.51,HUMAN_F01,fertile
99,19.02,10.04,13.99,0.528,0.718,0.735,1.5,7.66,HUMAN_F01,fertile
99,1.89,0.25,0.25,0.133,1,0.133,0.58,0.95,HUMAN_F01,fertile
99,101.63,48.48,72.88,0.477,0.665,0.717,3.17,17.1,HUMAN_F01,fertile
99,99.07,33.95,67.38,0.343,0.504,0.68,3.46,21.59,HUMAN_F01,fertile
99,92.64,57.66,57.79,0.622,0.998,0.624,3.8,21.27,HUMAN_F01,fertile
99,33.79,12.4,17.83,0.367,0.695,0.528,2.05,10.09,HUMAN_F01,fertile
99,134.86,48.64,103.58,0.361,0.47,0.768,3.2,22.6,HUMAN_F01,fertile
99,90.85,50.21,73.55,0.553,0.683,0.81,2.68,25.83,HUMAN_F01,fertile
99,0,0,0,0,0,0,0.41,1.14,HUMAN_F01,fertile
99,30.68,7.95,8.49,0.259,0.936,0.277,1.22,9.26,HUMAN_F01,fertile
99,86.49,39.75,62.16,0.46,0.639,0.719,2.15,21.95,HUMAN_F01,fertile
99,83.78,70.24,71.66,0.838,0.98,0.855,3.51,18.25,HUMAN_F01,fertile
99,105.44,28.01,84.76,0.266,0.33,0.804,2.53,22.07,HUMAN_F01,fertile
99,124.86,34.08,71.85,0.273,0.474,0.575,3.99,23.45,HUMAN_F01,fertile
99,1.15,0.22,0.22,0.186,1,0.186,0.43,0.83,HUMAN_F01,fertile
99,102.94,62.61,78.77,0.608,0.795,0.765,4.38,16.6,HUMAN_F01,fertile
99,3.67,0.29,0.29,0.078,1,0.078,0.95,0.31,HUMAN_F01,fertile
99,16.95,3.62,16.95,0.214,0.214,1,1.65,7.15,HUMAN_F01,fertile
99,31.76,9.42,13.36,0.297,0.705,0.421,2.23,6.56,HUMAN_F01,fertile
99,0.49,0.49,0.49,1,1,1,0.74,0.8,HUMAN_F01,fertile
99,99.76,63.1,88.11,0.633,0.716,0.883,3.3,22.71,HUMAN_F01,fertile
99,31.43,10.65,17.3,0.339,0.615,0.551,1.14,10.21,HUMAN_F01,fertile
99,131.51,40.19,83.97,0.306,0.479,0.638,3.24,21.99,HUMAN_F01,fertile
99,0.76,0.76,0.76,1,1,1,0.59,0.71,HUMAN_F01,fertile
99,2.42,0.91,0.91,0.375,1,0.375,0.45,0.3,HUMAN_F01,fertile
99,126.7,47.07,75.63,0.371,0.622,0.597,2.26,21.02,HUMAN_F01,fertile
99,126.04,58.64,78.73,0.465,0.745,0.625,3.61,20.08,HUMAN_F01,fertile
99,27.67,11.72,25.12,0.423,0.466,0.908,1.16,10.01,HUMAN_F01,fertile
99,1.01,0.48,0.48,0.479,1,0.479,0.5,0.58,HUMAN_F01,fertile
99,195.26,61.18,122.66,0.313,0.499,0.628,8.83,13.26,HUMAN_F01,fertile
99,19.53,4.76,15.34,0.244,0.31,0.786,1.78,7.16,HUMAN_F01,fertile
99,40,8.15,17.63,0.204,0.462,0.441,2.2,8.6,HUMAN_F01,fertile
99,22.33,7.1,7.1,0.318,1,0.318,0.98,4.66,HUMAN_F01,fertile
99,40,9.17,9.99,0.229,0.918,0.25,1.3,8.13,HUMAN_F01,fertile
99,90.84,28.99,50.33,0.319,0.576,0.554,3.45,24.36,HUMAN_F01,fertile
99,122.37,58.4,87.25,0.477,0.669,0.713,1.57,20.59,HUMAN_F01,fertile
99,73.82,59.11,73.82,0.801,0.801,1,3.78,20.95,HUMAN_F01,fertile
99,1.65,0.93,0.93,0.561,1,0.561,0.6,0.75,HUMAN_F01,fertile
99,12.17,6.25,12.17,0.514,0.514,1,1.78,11.62,HUMAN_F01,fertile
99,93.87,62.2,85.6,0.663,0.727,0.912,2.02,17.33,HUMAN_F01,fertile
99,1.83,0.11,0.11,0.061,1,0.061,0.7,0.92,HUMAN_F01,fertile
99,134.12,71.97,96.65,0.537,0.745,0.721,3.27,19.74,HUMAN_F01,fertile
99,111.58,44.08,71.8,0.395,0.614,0.643,3.25,26.17,HUMAN_F01,fertile
99,109.15,46.68,58.79,0.428,0.794,0.539,4.24,20.3,HUMAN_F01,fertile
99,2.04,0.98,0.98,0.481,1,0.481,0.7,1.79,HUMAN_F01,fertile
99,3.9,0.81,0.81,0.207,1,0.207,0.65,0.69,HUMAN_F01,fertile
99,106.09,52.8,71.77,0.498,0.736,0.677,3.2,18.7,HUMAN_F01,fertile
99,25.65,6.74,16.69,0.263,0.404,0.651,1.3,6.37,HUMAN_F01,fertile
99,2.15,0.29,0.29,0.136,1,0.136,0.82,1.2,HUMAN_F01,fertile
99,64.74,39.75,52.9,0.614,0.751,0.817,3.04,17.85,HUMAN_F01,fertile
99,29.89,12.11,16.61,0.405,0.729,0.556,1.16,12.32,HUMAN_F01,fertile
99,0.08,0.08,0.08,1,1,1,0.68,0.19,HUMAN_F01,fertile
99,25.61,7.25,7.25,0.283,1,0.283,1.52,5.16,HUMAN_F01,fertile
99,114.55,59.03,89.97,0.515,0.656,0.785,2.88,23.3,HUMAN_F01,fertile
99,122.3,38.16,78.86,0.312,0.484,0.645,3.12,26.13,HUMAN_F01,fertile
99,21.54,5.56,21.54,0.258,0.258,1,1.92,10.58,HUMAN_F01,fertile
99,35.64,8.74,20.53,0.245,0.426,0.576,1.8,5.82,HUMAN_F02,fertile
99,111.66,55.93,81.72,0.501,0.684,0.732,3.66,20.92,HUMAN_F02,fertile
99,3.93,1.03,1.03,0.263,1,0.263,0.54,1.37,HUMAN_F02,fertile
99,86.1,47.84,60.87,0.556,0.786,0.707,3.07,26.43,HUMAN_F02,fertile
99,94.3,48.77,80.34,0.517,0.607,0.852,5.63,18.89,HUMAN_F02,fertile
99,3.75,0.24,0.24,0.065,1,0.065,0.5,1.65,HUMAN_F02,fertile
99,74.13,67.11,74.13,0.905,0.905,1,3.93,17.35,HUMAN_F02,fertile
99,3.3,0,0,0,0,0,0.43,0.72,HUMAN_F02,fertile
99,0.76,0.67,0.67,0.879,1,0.879,0.37,1.51,HUMAN_F02,fertile
99,129.09,51.15,86.56,0.396,0.591,0.671,3.72,19.13,HUMAN_F02,fertile
99,125.47,43.97,77.79,0.35,0.565,0.62,3.5,16.97,HUMAN_F02,fertile
99,95.96,40.18,80.92,0.419,0.497,0.843,3.68,17.12,HUMAN_F02,fertile
99,115.27,46,81.75,0.399,0.563,0.709,3.03,20.07,HUMAN_F02,fertile
99,2.03,0.67,0.67,0.33,1,0.33,0.4,1.39,HUMAN_F02,fertile
99,0.56,0.56,0.56,1,1,1,0.47,0.36,HUMAN_F02,fertile
99,24.83,11.11,15.6,0.447,0.712,0.628,1.37,11.93,HUMAN_F02,fertile
99,124.05,59.68,83.64,0.481,0.714,0.674,5.06,20.13,HUMAN_F02,fertile
99,23.18,3.56,8.95,0.154,0.398,0.386,1.51,4.96,HUMAN_F02,fertile
99,24.83,6.65,16,0.268,0.416,0.644,1.43,4.04,HUMAN_F02,fertile
99,3.53,0.8,0.8,0.227,1,0.227,0.45,1.65,HUMAN_F02,fertile
99,106.17,62.69,74.5,0.59,0.841,0.702,3.73,24.59,HUMAN_F02,fertile
99,35.85,13.93,15.16,0.389,0.919,0.423,0.95,10.49,HUMAN_F02,fertile
99,101.43,57.64,82.8,0.568,0.696,0.816,2.63,21.28,HUMAN_F02,fertile
99,27.55,8.5,11.87,0.309,0.716,0.431,1.9,5.71,HUMAN_F02,fertile
99,90.43,53.99,70.23,0.597,0.769,0.777,3.1,18.47,HUMAN_F02,fertile
99,34.23,7.56,15.98,0.221,0.473,0.467,1.25,8.93,HUMAN_F02,fertile
99,2.33,0.33,0.33,0.141,1,0.141,0.81,0.43,HUMAN_F02,fertile
99,124.66,27.95,77.69,0.224,0.36,0.623,2.63,19.19,HUMAN_F02,fertile
99,16.87,10.03,12.84,0.594,0.781,0.761,1.71,7.23,HUMAN_F02,fertile
99,26.58,12.63,12.96,0.475,0.974,0.488,1.26,6.5,HUMAN_F02,fertile
99,29.56,14.48,14.48,0.49,1,0.49,1.51,9.62,HUMAN_F02,fertile
99,14.61,10.81,13.96,0.74,0.774,0.955,2.1,9.53,HUMAN_F02,fertile
99,2.8,0.13,0.13,0.046,1,0.046,0.42,0.81,HUMAN_F02,fertile
99,112.23,33.76,81.43,0.301,0.415,0.726,4.32,15.14,HUMAN_F02,fertile
99,109.28,46.38,85.69,0.424,0.541,0.784,3.61,19.67,HUMAN_F02,fertile
99,2.18,0.33,0.33,0.152,1,0.152,0.47,0.56,HUMAN_F02,fertile
99,104.17,42.16,61.16,0.405,0.689,0.587,4.88,17.59,HUMAN_F02,fertile
99,23.43,5.31,16.89,0.226,0.314,0.721,0.95,10.76,HUMAN_F02,fertile
99,80.47,56.8,60.25,0.706,0.943,0.749,4.11,16.92,HUMAN_F02,fertile
99,121.06,49.58,94.25,0.41,0.526,0.779,3.69,16.98,HUMAN_F02,fertile
99,212.46,54.95,117.27,0.259,0.469,0.552,8.31,18.21,HUMAN_F02,fertile
99,127.07,55.84,92.27,0.439,0.605,0.726,4.76,20.68,HUMAN_F02,fertile
99,118.3,54.19,76.83,0.458,0.705,0.649,2.24,18.56,HUMAN_F02,fertile
99,189.93,62.97,118.52,0.332,0.531,0.624,7,17.66,HUMAN_F02,fertile
99,201.27,62.85,110.52,0.312,0.569,0.549,10.77,18.01,HUMAN_F02,fertile
99,16.75,8.82,15.44,0.527,0.571,0.922,1.58,9.43,HUMAN_F02,fertile
99,102.58,48.37,77.39,0.471,0.625,0.754,3.11,19.19,HUMAN_F02,fertile
99,96.26,60.08,70.39,0.624,0.854,0.731,2.64,16.18,HUMAN_F02,fertile
99,96.93,53.72,71.63,0.554,0.75,0.739,3.08,20.74,HUMAN_F02,fertile
99,100.67,54.9,83.54,0.545,0.657,0.83,4.95,23.04,HUMAN_F02,fertile
99,27.9,7.04,13.03,0.252,0.54,0.467,1.63,5.26,HUMAN_F02,fertile
99,100.93,44.67,77.92,0.443,0.573,0.772,4.67,15.95,HUMAN_F02,fertile
99,2.28,0.33,0.33,0.144,1,0.144,0.69,0.53,HUMAN_F02,fertile
99,3.29,0.55,0.55,0.167,1,0.167,0.56,1.07,HUMAN_F02,fertile
99,0.9,0.41,0.41,0.455,1,0.455,0.43,0.96,HUMAN_F02,fertile
99,29.32,3.83,15.47,0.131,0.248,0.528,1.85,10.48,HUMAN_F02,fertile
99,1.1,0.28,0.28,0.253,1,0.253,0.66,1.27,HUMAN_F02,fertile
99,112.26,73.97,87.61,0.659,0.844,0.78,3.39,20.61,HUMAN_F02,fertile
99,2.42,0.85,0.85,0.353,1,0.353,0.34,0.63,HUMAN_F02,fertile
99,123.6,36.02,87.67,0.291,0.411,0.709,2.96,14.12,HUMAN_F02,fertile
99,2.39,0.5,0.5,0.209,1,0.209,0.61,0.91,HUMAN_F02,fertile
99,97.03,36.13,77.03,0.372,0.469,0.794,2.88,20.46,HUMAN_F02,fertile
99,100.82,53.46,95.82,0.53,0.558,0.95,3.62,20.69,HUMAN_F02,fertile
99,77.52,38.06,56.4,0.491,0.675,0.727,3.51,23.31,HUMAN_F02,fertile
99,1.59,0.55,0.55,0.349,1,0.349,0.69,0.75,HUMAN_F02,fertile
99,1.37,0,0,0,1,0,0.55,1.8,HUMAN_F02,fertile
99,192.02,62.99,108.21,0.328,0.582,0.564,8.46,16.95,HUMAN_F02,fertile
99,24.06,8.18,12.78,0.34,0.64,0.531,1.19,11.76,HUMAN_F02,fertile
99,15.64,12.68,12.68,0.811,1,0.811,1.39,6.22,HUMAN_F02,fertile
99,2.38,0.1,0.1,0.044,1,0.044,0.41,0.24,HUMAN_F02,fertile
99,1.64,0.94,0.94,0.571,1,0.571,0.87,1.27,HUMAN_F02,fertile
99,186.53,66.74,118.26,0.358,0.564,0.634,9.91,14.31,HUMAN_F02,fertile
99,93.99,57.18,75.9,0.608,0.753,0.808,3.96,17.01,HUMAN_F02,fertile
99,0.29,0.29,0.29,1,1,1,0.5,1.42,HUMAN_F02,fertile
99,100.91,71,83.74,0.704,0.848,0.83,2.62,20.85,HUMAN_F02,fertile
99,94.52,42.16,78.65,0.446,0.536,0.832,2.45,21.72,HUMAN_F02,fertile
99,31.32,8.29,16.17,0.265,0.512,0.516,2.33,8.12,HUMAN_F02,fertile
99,86.48,42.17,73.38,0.488,0.575,0.849,3.08,18.42,HUMAN_F02,fertile
99,91.59,40.64,70.46,0.444,0.577,0.769,3.5,16.96,HUMAN_F02,fertile
99,2.7,0.53,0.53,0.198,1,0.198,0.38,1.06,HUMAN_F02,fertile
99,88.25,62.12,88.25,0.704,0.704,1,1.61,17.09,HUMAN_F02,fertile
99,118.37,56.84,87,0.48,0.653,0.735,4.54,21.09,HUMAN_F02,fertile
99,20.82,7.06,16.15,0.339,0.437,0.776,1.02,7.75,HUMAN_F02,fertile
99,1.12,0.68,0.68,0.612,1,0.612,0.76,0.07,HUMAN_F02,fertile
99,28.06,6.8,13.12,0.242,0.519,0.468,2.07,5.53,HUMAN_F02,fertile
99,77.7,48.71,56.62,0.627,0.86,0.729,3.03,21.14,HUMAN_F02,fertile
99,85.59,63.63,69.79,0.743,0.912,0.815,3.2,18.78,HUMAN_F02,fertile
99,25.04,11.9,11.9,0.475,1,0.475,2.23,5.52,HUMAN_F02,fertile
99,196.24,76.49,106.7,0.39,0.717,0.544,7.21,13.1,HUMAN_F02,fertile
99,0.91,0.74,0.74,0.815,1,0.815,0.28,1.95,HUMAN_F02,fertile
99,75.81,53.21,71.7,0.702,0.742,0.946,3.56,25.01,HUMAN_F02,fertile
99,104.24,52.75,80.54,0.506,0.655,0.773,3.97,13.42,HUMAN_F02,fertile
99,28.93,7.62,17.1,0.263,0.445,0.591,1.73,6.45,HUMAN_F02,fertile
99,27.39,14.82,15.38,0.541,0.963,0.562,1.42,6.65,HUMAN_F02,fertile
99,38.91,6.99,16.34,0.18,0.428,0.42,0.76,7.6,HUMAN_F02,fertile
99,2.77,0.99,0.99,0.356,1,0.356,0.51,2.81,HUMAN_F02,fertile
99,2.09,0,0,0,0,0,0.48,0.88,HUMAN_F02,fertile
99,25.72,8.94,14.05,0.347,0.636,0.546,1.46,10.54,HUMAN_F02,fertile
99,87.02,44.51,64.23,0.511,0.693,0.738,3.32,21.51,HUMAN_F02,fertile
99,18.26,8.79,18.26,0.482,0.482,1,1.39,6.5,HUMAN_F02,fertile
99,96.5,43.67,69.88,0.453,0.625,0.724,3.14,26.37,HUMAN_F02,fertile
99,1.23,0.13,0.13,0.104,1,0.104,0.69,1.19,HUMAN_F02,fertile
99,81.77,51.67,63.73,0.632,0.811,0.779,4.26,18.41,HUMAN_F02,fertile
99,96.66,52.04,88.38,0.538,0.589,0.914,4.17,22.96,HUMAN_F02,fertile
99,1.71,0.12,0.12,0.073,1,0.073,0.67,1.67,HUMAN_F02,fertile
99,94.92,45.31,74.53,0.477,0.608,0.785,3.7,19.72,HUMAN_F02,fertile
99,96.43,43.05,63.32,0.446,0.68,0.657,4,19.48,HUMAN_F02,fertile
99,152.9,76.45,92.56,0.5,0.826,0.605,10.58,14.81,HUMAN_F02,fertile
99,1.47,0,0,0,0,0,0.69,0.63,HUMAN_F02,fertile
99,150,54.24,83.31,0.362,0.651,0.555,7.71,14.45,HUMAN_F02,fertile
99,125.63,52.88,94.93,0.421,0.557,0.756,3.25,19.79,HUMAN_F02,fertile
99,122.36,57.67,83.03,0.471,0.695,0.679,3.59,20.26,HUMAN_F02,fertile
99,23.64,6.53,15.16,0.276,0.431,0.641,1.03,7.19,HUMAN_F02,fertile
99,194.8,78.52,113.96,0.403,0.689,0.585,8.26,11.3,HUMAN_F02,fertile
99,31.17,6.12,13.41,0.196,0.456,0.43,1.33,5.71,HUMAN_F02,fertile
99,96.32,66.43,83.46,0.69,0.796,0.867,4.75,16.68,HUMAN_F02,fertile
99,23.43,11.9,13.52,0.508,0.88,0.577,1.84,6.59,HUMAN_F02,fertile
99,97.38,60.79,75.45,0.624,0.806,0.775,3.24,24.46,HUMAN_F02,fertile
99,1.09,0.44,0.44,0.406,1,0.406,0.57,0.57,HUMAN_F02,fertile
99,94.7,47.92,63.42,0.506,0.756,0.67,3.61,23.17,HUMAN_F02,fertile
99,17.3,2.28,14.48,0.132,0.158,0.837,0.5,9.55,HUMAN_F02,fertile
99,125.33,48.14,74.6,0.384,0.645,0.595,4.07,17.74,HUMAN_F02,fertile
99,2.11,0.84,0.84,0.4,1,0.4,0.28,0.68,HUMAN_F02,fertile
99,22.28,3.43,17.79,0.154,0.193,0.799,0.5,8.25,HUMAN_F02,fertile
99,101.33,72.66,86.19,0.717,0.843,0.851,4.36,17.41,HUMAN_F02,fertile
99,103.43,41.52,62.79,0.401,0.661,0.607,2.02,21.26,HUMAN_F02,fertile
99,21.95,4.34,20.83,0.198,0.208,0.949,1.44,9.13,HUMAN_F02,fertile
99,106.91,48.69,83.55,0.455,0.583,0.781,3.33,18.14,HUMAN_F02,fertile
99,220.45,71.27,123.41,0.323,0.578,0.56,9.85,15.57,HUMAN_F02,fertile
99,82.64,57.85,73.3,0.7,0.789,0.887,4.82,19.1,HUMAN_F02,fertile
99,1.13,1.1,1.1,0.971,1,0.971,0.11,1,HUMAN_F02,fertile
99,2.05,0.6,0.6,0.292,1,0.292,0.7,1.48,HUMAN_F02,fertile
99,93.85,53.51,79.78,0.57,0.671,0.85,3.46,21.37,HUMAN_F02,fertile
99,22.66,11.39,11.39,0.503,1,0.503,1.82,9.51,HUMAN_F02,fertile
99,104.15,55.27,77.23,0.531,0.716,0.741,4.95,17.35,HUMAN_F02,fertile
99,120.96,51.23,93.42,0.423,0.548,0.772,4.61,20.85,HUMAN_F02,fertile
99,94.11,51.32,68.54,0.545,0.749,0.728,4.23,20.73,HUMAN_F02,fertile
99,2,0.22,0.22,0.109,1,0.109,0.35,1.79,HUMAN_F02,fertile
99,0.65,0.65,0.65,1,1,1,0.95,0.96,HUMAN_F02,fertile
99,89.97,55.63,72.65,0.618,0.766,0.807,4.37,21.53,HUMAN_F02,fertile
99,110.12,58.15,93.92,0.528,0.619,0.853,4.39,17.21,HUMAN_F02,fertile
99,123.95,44.73,79.08,0.361,0.566,0.638,2.91,23.35,HUMAN_F02,fertile
